GROUPVEG,EVT_PHYS2,Sum of acres
BPS  Conifer,EVT  Agricultural,4473
BPS  Conifer,EVT  Conifer,57330
BPS  Conifer,EVT  Conifer-Hardwood,17534
BPS  Conifer,Developed,13356
BPS  Conifer,Exotics,2673
BPS  Conifer,EVT  Grassland,4
BPS  Conifer,EVT  Hardwood,57600
BPS  Conifer,EVT  Riparian,5339
BPS  Grassland,EVT  Agricultural,526
BPS  Grassland,EVT  Conifer,3273
BPS  Grassland,EVT  Conifer-Hardwood,173
BPS  Grassland,Developed,466
BPS  Grassland,Exotics,349
BPS  Grassland,EVT  Grassland,55
BPS  Grassland,EVT  Hardwood,568
BPS  Grassland,EVT  Riparian,42
BPS  Hardwood,EVT  Agricultural,47685
BPS  Hardwood,EVT  Conifer,46414
BPS  Hardwood,EVT  Conifer-Hardwood,18467
BPS  Hardwood,Developed,24292
BPS  Hardwood,Exotics,4898
BPS  Hardwood,EVT  Grassland,54
BPS  Hardwood,EVT  Hardwood,245416
BPS  Hardwood,EVT  Riparian,10997
BPS  Hardwood-Conifer,EVT  Agricultural,62597
BPS  Hardwood-Conifer,EVT  Conifer,386974
BPS  Hardwood-Conifer,EVT  Conifer-Hardwood,84545
BPS  Hardwood-Conifer,Developed,104759
BPS  Hardwood-Conifer,Exotics,25183
BPS  Hardwood-Conifer,EVT  Grassland,991
BPS  Hardwood-Conifer,EVT  Hardwood,484838
BPS  Hardwood-Conifer,EVT  Riparian,13719
BPS  Riparian,EVT  Agricultural,2601
BPS  Riparian,EVT  Conifer,33899
BPS  Riparian,EVT  Conifer-Hardwood,2208
BPS  Riparian,Developed,4413
BPS  Riparian,Exotics,1514
BPS  Riparian,EVT  Grassland,215
BPS  Riparian,EVT  Hardwood,24730
BPS  Riparian,EVT  Riparian,202530
